ID	island	species	sex	age_years	carapace_length_cm	altitude_m	precipitation_mm	food_availability_index	body_mass_kg	shell_thickness_cm	parasite_load_index	immune_response_level	carapace_shape	ambient_temperature_c	activity_level	relative_humidity_percent
185	Santa_Cruz	Chelonoidis_donfaustoi	Male	77.5	106.4	371.3	554.4	51.6	184.3	5.28	52.8	65.8	Saddleback	26.9	High	57.3
186	Isabela	Chelonoidis_vicina	Female	93.9	105.2	469.9	801.1	92.5	142.9	5.99	50.2	71.5	Dome	24.1	Low	73.6
187	Isabela	Chelonoidis_becki	Female	89.7	107.6	414.3	654.6	30.7	198.3	4.64	49.8	78.1	Intermediate	24.2	Low	65
188	Santa_Cruz	Chelonoidis_porteri	Female	130.2	105	352.4	527.2	15.3	177.5	3.33	41.5	52.7	Dome	24.4	Low	52.5
189	Espanola	Chelonoidis_hoodensis	Male	84.6	98.8	19.6	600.8	205.2	310.1	6.69	44.4	81.3	Saddleback	32.7	High	61
190	Espanola	Chelonoidis_hoodensis	Male	98.4	96.4	56	549.8	172.3	272.9	5.04	43.1	108.5	Saddleback	22.2	Medium	59.6
191	Isabela	Chelonoidis_microphyes	Male	115.7	119.5	586	777.1	6.5	131.9	3.31	50.7	37.4	Intermediate	29.8	High	86.4
192	Isabela	Chelonoidis_microphyes	Female	78.8	109.5	487.5	730.8	30.9	184	5.57	59.4	61.1	Dome	25.8	Medium	62.9
193	Espanola	Chelonoidis_hoodensis	Male	133.1	114.6	127.5	263.3	24.8	269.2	4.11	52	39.3	Intermediate	23.6	Medium	79
194	Santa_Cruz	Chelonoidis_donfaustoi	Male	113.5	117.7	245.1	812.6	198.5	197.9	4.92	46.5	107.1	Saddleback	21.8	Medium	76.1
195	Espanola	Chelonoidis_hoodensis	Female	78.5	77.8	96.3	411.5	75.7	257.7	5.79	53.3	73.3	Saddleback	23.2	Low	62.1
196	Isabela	Chelonoidis_microphyes	Male	109.1	113.6	512.3	740.6	16.4	169.6	3.12	55.3	48.7	Saddleback	23.6	Medium	75.4
197	Isabela	Chelonoidis_microphyes	Male	95.7	124.9	463.2	907.8	114.3	215.7	5.3	49.2	63.6	Saddleback	30.5	High	75.6
198	Santa_Cruz	Chelonoidis_porteri	Male	106.3	106.2	236	490	51.5	212.8	4.83	49.1	50	Saddleback	21.1	Medium	58.5
199	Isabela	Chelonoidis_vicina	Female	98.2	105.3	503.8	872.7	89	151.4	4.51	50	66.6	Dome	33.2	Medium	77.3
200	Santa_Cruz	Chelonoidis_porteri	Female	121.4	110.7	312.8	744.1	118.1	209.7	5.68	48.6	100.7	Intermediate	24.1	Low	69.9
201	Isabela	Chelonoidis_microphyes	Female	73	101.8	513.9	779	31.7	141.6	5.76	52	55.6	Dome	21.7	Low	67.6
202	Espanola	Chelonoidis_hoodensis	Female	89.5	92.1	76.8	545.1	172.8	251.5	5.89	49.3	113.3	Saddleback	21.5	Low	61.1
203	Santa_Cruz	Chelonoidis_donfaustoi	Female	95	97.5	277	664.2	116.8	257.5	6.12	45.2	87.6	Dome	25.9	Medium	68.3
204	Santa_Cruz	Chelonoidis_porteri	Female	80.1	89.7	274.4	532.1	55.4	250.2	5.34	53.7	58.2	Dome	33.7	Medium	59.2
205	Isabela	Chelonoidis_becki	Male	79.2	107	511.8	857.4	65.1	130.1	5.68	45.5	81.4	Saddleback	23.9	Medium	69.8
206	Espanola	Chelonoidis_hoodensis	Female	99.6	85.2	22.9	329.5	87.2	252.2	5.51	55.8	60.1	Intermediate	24.5	Low	68.7
207	Isabela	Chelonoidis_becki	Female	97.4	107.1	561	746.6	0	134.3	3.7	47.1	64.6	Dome	26	Medium	67.5
208	Isabela	Chelonoidis_vicina	Female	49	95.1	508.7	877.4	103.9	167.8	5.34	53.2	87.1	Intermediate	25.3	Medium	81.1
209	Isabela	Chelonoidis_microphyes	Male	120.8	131.7	469.2	752.4	47.3	172.4	5.45	55.6	63.1	Intermediate	21.3	Medium	63.8
210	Isabela	Chelonoidis_vicina	Male	105	118.1	409.7	797.6	104.6	211.8	5.35	55.6	82.7	Intermediate	29.9	High	68.7
211	Isabela	Chelonoidis_becki	Male	148.3	124.9	467.8	901.9	106.3	161.6	4.58	50.1	82.2	Intermediate	18.8	Medium	78.6
212	Isabela	Chelonoidis_becki	Male	113.7	124	602.3	679.4	0	109.4	3.42	55.8	41	Saddleback	20.1	Medium	83.2
213	Isabela	Chelonoidis_vicina	Female	91.1	106.6	472	959.5	128.6	198	6.32	37.3	89.8	Intermediate	22.9	Low	69
214	Santa_Cruz	Chelonoidis_donfaustoi	Male	155.9	125.4	258.2	804.2	187.5	223.4	5.97	50.8	98.2	Saddleback	23.6	Medium	70.7
215	Isabela	Chelonoidis_vicina	Male	156.6	124	532.6	861.4	54.5	139.3	4.47	50.3	77	Saddleback	30.3	High	81
216	Santa_Cruz	Chelonoidis_donfaustoi	Male	75.6	106.3	322.1	642.2	60	210.2	4.37	54	70.4	Intermediate	21.9	Medium	73.2
217	Isabela	Chelonoidis_vicina	Female	109.4	113.2	537.6	750.4	21.6	148.7	3.8	52.4	52.6	Dome	24.1	Low	73.3
218	Isabela	Chelonoidis_becki	Female	95.8	102	486.1	849.1	75.5	113.8	5.18	56.2	56.5	Dome	23.3	Low	67.4
219	Espanola	Chelonoidis_hoodensis	Male	103.7	103.6	106.1	349.8	82.8	287	5.39	48.6	77.1	Saddleback	33	High	71
220	Espanola	Chelonoidis_hoodensis	Female	104.6	89.8	0	428.8	154.1	312.5	5.47	53	83	Saddleback	32.2	Medium	70.1
221	Isabela	Chelonoidis_becki	Male	74.8	110.6	497.6	731.3	39.6	177.8	4.76	49.8	51.8	Saddleback	19.7	Medium	75.8
222	Espanola	Chelonoidis_hoodensis	Female	105.7	90.9	14.8	478.8	168.9	285.7	5.98	51.8	118.5	Saddleback	27.2	Medium	68.5
223	Santa_Cruz	Chelonoidis_donfaustoi	Female	135	108.6	334	669.1	78.4	203.1	3.91	45.5	60.2	Intermediate	18.5	Low	66.9
224	Santa_Cruz	Chelonoidis_donfaustoi	Male	96.7	109.4	306.5	724.3	125	188.8	6.63	50.6	76.7	Saddleback	20.9	Medium	69.3
225	Isabela	Chelonoidis_microphyes	Male	96.7	112.4	555.5	998.2	98.2	151.5	4.43	48.9	72.6	Intermediate	22.1	Medium	65.4
226	Isabela	Chelonoidis_vicina	Female	128	110.2	602.9	735.4	0	106.4	3.99	53.5	40.6	Dome	20.8	Low	85.5
227	Isabela	Chelonoidis_vicina	Male	118	118.6	507	896.6	87.9	184	3.81	47.4	64.8	Saddleback	26.1	High	59.4
228	Santa_Cruz	Chelonoidis_porteri	Male	67	99.9	273.3	457.3	7.3	210.1	4.78	53.1	47.1	Saddleback	23.4	Medium	82.1
229	Santa_Cruz	Chelonoidis_donfaustoi	Female	104.6	102.2	258.8	554.3	68.9	185.4	5.63	64	51.6	Dome	26.5	Medium	69.9
230	Espanola	Chelonoidis_hoodensis	Female	133.1	107.4	36.8	494.5	144.4	293.6	5.64	56.8	101.7	Saddleback	31.1	Medium	49.8
231	Santa_Cruz	Chelonoidis_porteri	Female	128.3	101.5	296.5	526.2	21.7	177.6	3.24	57.5	52.3	Intermediate	30.9	Medium	64.6
232	Isabela	Chelonoidis_becki	Female	108.4	106.3	599.6	834.6	15.9	107.1	3.55	49.1	62.2	Dome	14.6	Low	81.6
233	Santa_Cruz	Chelonoidis_porteri	Male	114.4	117.3	243.5	510	70	252.9	4.73	52	54.3	Saddleback	23.7	Medium	57.1
234	Isabela	Chelonoidis_vicina	Female	76.1	106.4	445.3	763	56.2	215.9	4.86	49.4	65.3	Dome	27.4	Medium	71.3
235	Isabela	Chelonoidis_microphyes	Female	106	108.7	479.6	795.9	46.6	158.1	4.84	40.3	72.6	Intermediate	30.8	Medium	57.7
236	Isabela	Chelonoidis_microphyes	Male	80.9	109	529.4	738.8	6.1	173	4.24	49.9	51.2	Saddleback	22.1	Medium	70.8
237	Isabela	Chelonoidis_vicina	Male	90.8	110.5	541.1	605.4	0	121.3	3.67	50.4	48.3	Saddleback	25.6	High	80.2
238	Espanola	Chelonoidis_hoodensis	Female	118.7	97.5	4.6	424.3	155.7	332.3	5.26	49.2	85.1	Saddleback	33.2	Medium	67.9
239	Isabela	Chelonoidis_becki	Male	77.3	112.9	506.4	847.5	72.9	163.1	4.86	47.6	65.1	Saddleback	26	High	79.6
240	Espanola	Chelonoidis_hoodensis	Male	105.3	100.5	47.9	413.7	106.9	273.3	5.8	52.1	75.3	Saddleback	34.4	High	77.3
241	Santa_Cruz	Chelonoidis_donfaustoi	Male	108.6	113.2	359.8	551.1	15.6	209	4.11	60.9	39.5	Saddleback	13.9	Medium	82.1
242	Santa_Cruz	Chelonoidis_porteri	Male	101.1	111.2	354.5	690	90.5	186.9	5.16	55.6	80.4	Saddleback	35.2	High	83.3
243	Isabela	Chelonoidis_vicina	Male	136.4	129.4	484.4	907.8	100.5	167.2	5.26	52.9	94.6	Intermediate	13.1	Medium	80
244	Santa_Cruz	Chelonoidis_donfaustoi	Female	79.6	99.2	302.3	362.6	0	219.1	5.63	49.3	61.8	Dome	30.7	Medium	73.9
245	Isabela	Chelonoidis_vicina	Male	112.1	119.8	532.6	912.5	84.1	175.2	4.87	50.6	77.5	Saddleback	30.3	High	70.6
246	Santa_Cruz	Chelonoidis_porteri	Male	98.2	108.9	217.3	422	47.7	232.3	4.97	55.8	58.6	Saddleback	23.1	Medium	71.4
247	Isabela	Chelonoidis_vicina	Female	94.8	110.2	484.5	765.5	57.3	157.4	5.63	55.5	68.6	Intermediate	23.3	Low	73.6
248	Espanola	Chelonoidis_hoodensis	Female	109.3	93.4	78.7	289.1	65.3	277.8	4.67	47.5	61.3	Saddleback	26.8	Medium	61
249	Espanola	Chelonoidis_hoodensis	Female	79.6	91.6	23.8	337	90.4	314.7	5.08	54.6	75.8	Saddleback	25.8	Medium	64.1
250	Santa_Cruz	Chelonoidis_donfaustoi	Male	73.7	101.6	297	731.7	121.8	258.9	6.53	41.8	90.7	Saddleback	26.2	High	65
251	Isabela	Chelonoidis_microphyes	Male	90.1	114.9	498.9	853.5	76.2	195.5	4.49	44.8	50.4	Intermediate	31.6	High	64.8
252	Isabela	Chelonoidis_vicina	Male	135	117.6	463.8	849.4	88	185.9	4.35	59	89.3	Saddleback	26.1	High	67.2
253	Santa_Cruz	Chelonoidis_donfaustoi	Male	101.1	109.6	250.3	392.2	0	195.5	4.07	51.6	34.2	Saddleback	14.7	Medium	69.4
254	Isabela	Chelonoidis_microphyes	Male	106.6	116.7	490	819.6	56.6	183	4.46	51	38.6	Intermediate	27.1	High	62.1
255	Santa_Cruz	Chelonoidis_porteri	Male	96.2	104.9	282.6	662.9	115.3	237.5	4.14	56.2	79.8	Intermediate	23.4	Medium	47.7
256	Santa_Cruz	Chelonoidis_porteri	Male	109.4	107.4	341.7	686.1	86.5	189.5	4.68	49.5	75.6	Saddleback	29.2	High	90.2
257	Isabela	Chelonoidis_microphyes	Female	81	103.8	576.5	702.7	0	125.6	5.31	45.3	50.6	Intermediate	20.6	Low	61.8
258	Isabela	Chelonoidis_vicina	Female	123.2	116.3	499.4	893.8	91.3	130.4	4.51	51.4	76.4	Dome	23.7	Low	80.2
259	Isabela	Chelonoidis_microphyes	Female	111.7	101.8	519.9	660.5	0	146.4	3.75	43.3	39.8	Dome	17.3	Low	63.8
260	Espanola	Chelonoidis_hoodensis	Female	83.9	87.1	46.5	573.9	194.3	288.7	6.23	45.8	114.7	Saddleback	17.6	Low	75
261	Espanola	Chelonoidis_hoodensis	Female	101.1	84.6	80.1	320.1	90.4	237.1	4.74	49.6	89.5	Saddleback	16.3	Low	68.6
262	Espanola	Chelonoidis_hoodensis	Female	114.3	88.8	60.9	476.5	126.3	245.7	5.34	42.3	81.7	Saddleback	25.1	Medium	76
263	Santa_Cruz	Chelonoidis_porteri	Male	111.2	115.8	311.8	631.8	73	219.7	5.1	50.8	72.9	Saddleback	11.3	Medium	51.5
264	Espanola	Chelonoidis_hoodensis	Male	129.6	105.2	105.6	293.6	44.5	248.6	4.87	46.5	60.7	Intermediate	31.3	High	72.4
265	Santa_Cruz	Chelonoidis_porteri	Male	87.7	111.1	250.6	714.4	120.4	230.9	4.96	55.6	81	Saddleback	21.7	Medium	68.5
266	Santa_Cruz	Chelonoidis_donfaustoi	Male	122.3	116.7	372.4	603.3	36.1	216.4	4.41	49.5	69.2	Intermediate	25.1	High	83.9
267	Isabela	Chelonoidis_microphyes	Male	120.7	123.7	517.5	881.8	69.4	148	4.5	45.3	74.3	Intermediate	31	High	66.7
268	Isabela	Chelonoidis_becki	Female	96.8	101.2	509	821.8	77.9	155.2	5.28	50.8	90.6	Intermediate	26.5	Medium	66.1
269	Isabela	Chelonoidis_vicina	Male	80.5	103.2	472	886.8	70.9	180.3	4.88	49.9	66.3	Saddleback	27.1	High	51.6
270	Santa_Cruz	Chelonoidis_donfaustoi	Male	78.2	107.8	291.8	602.2	91.1	202.3	5.66	49.2	90.9	Saddleback	21.8	Medium	71.6
271	Espanola	Chelonoidis_hoodensis	Female	109.2	93.7	68.7	511.5	161.6	303.4	5.15	50.9	91.9	Saddleback	18.5	Low	76.2
272	Isabela	Chelonoidis_vicina	Female	98.6	103.2	396.8	764.8	96.1	205.2	5.61	47.1	76.3	Dome	28.2	Medium	67.7
273	Isabela	Chelonoidis_microphyes	Female	135.6	115.8	469.9	852.7	88.9	189.4	4	49.9	71.8	Dome	24	Low	64.2
274	Isabela	Chelonoidis_vicina	Male	110.7	124.6	529.3	837.9	44.7	146.9	4.56	53.9	62.7	Saddleback	25	Medium	73.6
275	Santa_Cruz	Chelonoidis_donfaustoi	Male	92.6	104.1	285.3	684.4	123.5	192.7	4.61	58.7	85.7	Saddleback	20.9	Medium	58
276	Santa_Cruz	Chelonoidis_porteri	Male	79.5	99.9	260	537.9	57.6	240.4	5.44	39.7	72.2	Saddleback	22.2	Medium	73.1
277	Espanola	Chelonoidis_hoodensis	Female	88.4	83.2	18.2	417.8	146.2	304.9	6.54	47	99.7	Saddleback	13.5	Low	80.1
278	Isabela	Chelonoidis_becki	Female	106.9	98.9	511.8	742	26.2	199.4	4.8	55.2	45.8	Dome	16.7	Low	68.4
279	Isabela	Chelonoidis_vicina	Female	91	106.2	418.3	890.9	139.3	217.9	6.39	42	91.7	Dome	17.1	Low	66.1
280	Santa_Cruz	Chelonoidis_porteri	Female	110.3	103.8	343.6	536.3	18.1	191.6	3.59	58	56.3	Dome	24.1	Low	66.5
281	Santa_Cruz	Chelonoidis_donfaustoi	Female	93.3	98.8	191.6	773.2	189	227.2	6.23	46.3	117.3	Dome	19.7	Low	74.9
282	Isabela	Chelonoidis_becki	Male	97.9	113.9	474.8	879	98.5	181.4	5.29	53.1	79.7	Intermediate	26.9	High	57.3
283	Isabela	Chelonoidis_microphyes	Female	85.4	97.9	460.6	798.6	73.5	207.6	5.68	56.4	74.3	Dome	25.2	Medium	61.6
284	Isabela	Chelonoidis_vicina	Male	138.1	122.1	437.6	920.6	144.5	152.6	4.89	54.7	97.8	Saddleback	22.5	Medium	55.1
285	Isabela	Chelonoidis_becki	Female	106.7	111	446.1	791.5	79.7	158.8	4.86	56.3	75.2	Dome	17	Low	67.3
286	Isabela	Chelonoidis_vicina	Male	104.6	109	512.5	856.3	69	188.9	5.73	37.9	72.9	Saddleback	21.6	Medium	69.6
287	Isabela	Chelonoidis_becki	Female	66.2	96.8	494	852.8	83.8	197.8	6.35	41.6	76.1	Dome	29.5	Medium	70.9
288	Isabela	Chelonoidis_microphyes	Female	113.2	104.8	485	842.3	70.3	162.2	3.85	54.6	73.3	Intermediate	27.4	Medium	68.3
289	Isabela	Chelonoidis_becki	Male	79.5	110.1	384	740.3	96.4	165.6	5.47	44.7	75.3	Saddleback	23.4	Medium	51.7
290	Santa_Cruz	Chelonoidis_donfaustoi	Male	82.2	100.7	233.8	474.9	44.1	227	4.59	47.9	61.3	Intermediate	13.8	Medium	57.2
291	Isabela	Chelonoidis_microphyes	Male	118.4	117.7	493.4	631.8	0	184.6	5.41	56.3	44.3	Saddleback	22.6	Medium	67
292	Isabela	Chelonoidis_vicina	Female	90.9	110.9	456.1	754.4	37.9	217.6	4.61	51.2	43.3	Dome	10.4	Low	72.8
293	Isabela	Chelonoidis_becki	Female	65	97.6	460.2	868.3	101	171.5	6.58	47.9	83.1	Dome	33.9	Medium	71.9
294	Espanola	Chelonoidis_hoodensis	Male	135.4	99.7	102.5	376.1	64.8	253.5	4.28	49.9	73.6	Saddleback	25.2	High	59.5
295	Santa_Cruz	Chelonoidis_porteri	Male	52.5	96.2	308.8	479.7	16.5	225.1	5.46	41.3	57	Saddleback	31.3	High	80.2
296	Espanola	Chelonoidis_hoodensis	Female	111.5	91	0	615.6	210	300.2	6.41	38.5	135	Saddleback	24.1	Low	70.5
297	Espanola	Chelonoidis_hoodensis	Male	120.3	100.2	26.6	470.2	149.7	274	5.31	48.5	92.3	Intermediate	35.4	High	66.5
298	Isabela	Chelonoidis_microphyes	Male	87.4	112.1	485.8	994.7	128.5	178.7	6.25	49.9	92.7	Saddleback	20.5	Medium	72.7
299	Isabela	Chelonoidis_vicina	Female	108.9	108.1	466	921.3	122.4	194.4	5.62	42.5	94.1	Dome	29.2	Medium	78.5
300	Santa_Cruz	Chelonoidis_porteri	Male	108.8	110.8	251.8	538.9	65.1	232.4	3.93	42.6	79.4	Intermediate	24.9	Medium	76
301	Santa_Cruz	Chelonoidis_porteri	Male	120.8	125.9	297.4	558.8	48.4	236.2	4.08	57.8	63.2	Saddleback	28.6	High	66
302	Isabela	Chelonoidis_vicina	Male	109.7	106.4	537.1	655.9	0	149.3	3.84	54.3	44.3	Saddleback	18.4	Medium	58.2
303	Santa_Cruz	Chelonoidis_porteri	Female	95.1	102.5	311.3	674	111.9	222.1	5.26	52	86.5	Dome	36.2	Medium	78.6
304	Santa_Cruz	Chelonoidis_porteri	Male	118.3	113.8	290	762.4	152.2	216.1	5.98	53.1	95	Saddleback	26.5	High	59.5
305	Santa_Cruz	Chelonoidis_donfaustoi	Male	116	117.9	319.4	508	9.9	238	4.81	53.1	52.2	Saddleback	22.5	Medium	63.1
306	Isabela	Chelonoidis_vicina	Female	81.3	96.9	539.7	679.8	0	149	4.21	45.9	57.6	Dome	19.1	Low	81.5
307	Isabela	Chelonoidis_vicina	Female	72	93.4	493	888.3	77.8	148.4	5.9	54.9	77	Dome	17.4	Low	64.7
308	Isabela	Chelonoidis_vicina	Female	103.2	97.2	522.8	648.4	0	157.8	3.64	45.7	50.4	Dome	15.9	Low	67.4
309	Isabela	Chelonoidis_becki	Female	94.5	102.1	442.7	992.2	164.1	192.6	5.77	46.5	95.5	Intermediate	16.4	Low	74.7
310	Isabela	Chelonoidis_becki	Female	80.3	111.3	487.5	857.2	78.3	165.9	5.62	50.7	84.7	Dome	25.2	Medium	83.4
311	Isabela	Chelonoidis_becki	Female	101.7	110.2	479	628.5	0	111.6	4.16	52.7	47.5	Dome	30.6	Medium	60.2
312	Isabela	Chelonoidis_becki	Male	73.6	115.2	509.8	835.5	61.9	196.8	5.1	52.8	61.7	Intermediate	26.8	High	77.4
313	Santa_Cruz	Chelonoidis_porteri	Male	103.2	115.3	317.9	610.5	70.8	200.7	4.31	55.4	57.4	Intermediate	15.3	Medium	69.7
314	Isabela	Chelonoidis_microphyes	Male	87.5	116.8	493.8	553.2	0	159.8	4.39	46.9	52.6	Intermediate	25.4	High	84.2
315	Isabela	Chelonoidis_becki	Female	119.1	115	461.7	795.8	51.5	201.6	4.45	44.4	70.5	Intermediate	32.5	Medium	79.6
316	Espanola	Chelonoidis_hoodensis	Male	148.5	116.7	3.5	341.3	114.3	263.7	4.75	44.6	74	Saddleback	30.1	High	69.5
317	Espanola	Chelonoidis_hoodensis	Male	81.7	91.4	63.9	311.3	76.7	262.1	4.99	52.9	56.4	Saddleback	34.2	High	62.5
318	Isabela	Chelonoidis_microphyes	Male	121.2	118.5	567.8	823.9	32.8	123.7	4.49	48.5	60.8	Saddleback	27.1	High	57
319	Isabela	Chelonoidis_vicina	Male	116.5	111.7	460.6	885.1	101.8	142.2	4.4	53	69.2	Intermediate	8.6	Medium	59.9
320	Espanola	Chelonoidis_hoodensis	Female	98.6	89.3	30.8	572.7	188	311.9	5.93	54.5	116	Saddleback	28.2	Medium	65.6
321	Espanola	Chelonoidis_hoodensis	Female	90.9	91.6	66.5	136.7	0	307	4.7	47.1	38.7	Saddleback	26.1	Medium	57.9
322	Isabela	Chelonoidis_microphyes	Male	131.5	129.4	472.3	874.4	87.6	180.8	4.19	55.8	56.2	Saddleback	16.4	Medium	68.6
323	Isabela	Chelonoidis_vicina	Male	59.9	103.2	506.1	704.8	8.9	153.1	4.79	47.1	51.8	Saddleback	24.3	Medium	64.6
324	Santa_Cruz	Chelonoidis_donfaustoi	Male	87.1	103.2	297.6	715.6	112.4	210.5	5.65	52.1	85.7	Saddleback	21.6	Medium	89.8
325	Isabela	Chelonoidis_becki	Male	71.3	122.6	461.2	834.6	90.5	171.4	5.79	49	77.6	Saddleback	22.8	Medium	81
326	Isabela	Chelonoidis_microphyes	Female	127.9	116.8	541.6	944.5	92	134	5.12	45.6	77	Intermediate	27.4	Medium	75.1
327	Espanola	Chelonoidis_hoodensis	Male	96.2	105.7	92.3	251.7	19.7	289.7	4.45	55.6	55.3	Saddleback	22	Medium	64.4
328	Isabela	Chelonoidis_vicina	Male	89.5	110	551.2	849.5	48.6	164	4.14	54.9	52.8	Intermediate	21.7	Medium	90.2
329	Isabela	Chelonoidis_vicina	Female	163.7	123.7	563.4	829.5	36.8	125	3.06	48.6	62.4	Intermediate	17.7	Low	67.2
330	Espanola	Chelonoidis_hoodensis	Male	99	101.7	24.7	504.8	168.3	304.1	5.68	49.2	90.9	Saddleback	25.9	High	69.6
331	Santa_Cruz	Chelonoidis_donfaustoi	Male	91.1	115.5	276.8	576.9	73.4	182.9	4.74	63	55.8	Saddleback	27.8	High	50.7
332	Isabela	Chelonoidis_microphyes	Female	106	105	513.1	914.4	86.2	153	5.2	46	77.3	Dome	27.9	Medium	80.9
333	Santa_Cruz	Chelonoidis_porteri	Male	68.6	104.6	331.5	555.5	34.8	195.7	6.52	46.9	64.5	Intermediate	30.9	High	69.5
334	Espanola	Chelonoidis_hoodensis	Male	109.8	92.3	33	357.1	97.5	310.3	5.47	56.3	65.8	Saddleback	13.2	Medium	59.8
335	Isabela	Chelonoidis_vicina	Male	98.1	111.7	478.8	802.5	67.1	190.4	4.93	44.6	55.7	Saddleback	25.2	High	69.9
336	Isabela	Chelonoidis_vicina	Female	109.4	101.1	469.1	693.1	11.7	118.1	4.47	62.7	35.3	Dome	18.3	Low	80.8
337	Santa_Cruz	Chelonoidis_donfaustoi	Female	80.4	99.5	374.1	554.3	10.1	214	5.51	45.9	33.4	Dome	28	Medium	70.8
338	Santa_Cruz	Chelonoidis_donfaustoi	Male	79.5	102.8	174.6	711	169.3	245.9	6.24	45.5	102.6	Saddleback	25.4	High	73
339	Santa_Cruz	Chelonoidis_donfaustoi	Female	86.1	93.7	291.6	765.2	132.8	212.9	6.23	48	95.1	Dome	19.7	Low	80.6
340	Espanola	Chelonoidis_hoodensis	Male	84.6	102	51.9	511.4	156.2	310.6	6.44	53.2	111.6	Saddleback	23.1	Medium	60.8
341	Isabela	Chelonoidis_microphyes	Female	126	118.2	447	757.5	55.9	187.6	4.27	67.3	47.5	Intermediate	32	Medium	67.5
342	Isabela	Chelonoidis_becki	Female	131.6	109.8	519.3	831.8	47.4	130.5	4.16	53.7	56	Intermediate	22.3	Low	76.9
343	Santa_Cruz	Chelonoidis_donfaustoi	Female	96.9	101	201.6	609.8	121.9	251.1	5.9	51.8	83	Dome	16.4	Low	56
344	Isabela	Chelonoidis_vicina	Male	92.8	106.5	547.7	674.1	0	135.1	4.42	44	53.7	Intermediate	30.4	High	82
345	Isabela	Chelonoidis_microphyes	Male	93.4	110.4	416.8	825.7	104.3	210.6	5.3	50.3	71.5	Saddleback	30.8	High	59.2
346	Isabela	Chelonoidis_vicina	Male	101.4	123.3	389.9	717.6	79.7	167.1	4.77	38.6	87.3	Saddleback	22	Medium	72.7
347	Espanola	Chelonoidis_hoodensis	Female	101.9	97.6	11.8	293.9	80.1	315.4	5.2	48.4	69.4	Saddleback	33.3	Medium	71.8
348	Isabela	Chelonoidis_vicina	Male	105.8	122.1	508.1	872.6	62.1	189.4	4.77	57.7	73	Saddleback	24.2	Medium	64.1
349	Isabela	Chelonoidis_microphyes	Female	85.1	97.5	467.4	729.2	61.6	113.4	5.02	49	51	Dome	18.6	Low	72.2
350	Santa_Cruz	Chelonoidis_donfaustoi	Male	83.1	95.3	272	585.6	81.9	236.5	5.54	48.9	71.8	Saddleback	23.5	Medium	68.1
351	Isabela	Chelonoidis_microphyes	Male	123.9	116.1	516.7	702.6	4.5	145.1	3.47	52.5	51.9	Intermediate	26.3	High	78.9
352	Espanola	Chelonoidis_hoodensis	Male	89	101.3	0	405.6	141.5	309.1	5.53	48.6	86.6	Saddleback	27.8	High	56.5
353	Santa_Cruz	Chelonoidis_donfaustoi	Male	106.1	110.2	295.7	649.2	98.1	213.8	5.84	49.3	73.4	Intermediate	26.9	High	83
354	Isabela	Chelonoidis_microphyes	Female	98.9	93.6	524.9	850.3	59.3	157.5	4.47	43.3	63.1	Dome	31.2	Medium	67.5
355	Santa_Cruz	Chelonoidis_donfaustoi	Male	80.8	103.1	381.7	492.5	0	213.5	4.83	47.9	50.5	Intermediate	26.2	High	62.6
356	Espanola	Chelonoidis_hoodensis	Female	111.8	100.4	74	525.8	150.3	291.6	5.08	48.2	107	Saddleback	27.6	Medium	59.4
357	Santa_Cruz	Chelonoidis_porteri	Male	103.5	114	385.7	749.3	84.7	192.6	4.96	52.9	62.1	Intermediate	30.1	High	80.8
358	Isabela	Chelonoidis_microphyes	Male	128	119.1	522.7	837.3	51.7	142.7	4.44	51.9	61.9	Saddleback	24.2	Medium	54.6
359	Isabela	Chelonoidis_becki	Male	102.3	107.8	499.8	815.7	50.2	154.7	4.24	47.4	59.9	Saddleback	21	Medium	71.4
360	Espanola	Chelonoidis_hoodensis	Female	93.4	83.7	0	407.7	155.1	292.7	6.27	52.3	107.9	Saddleback	23.6	Low	64
361	Isabela	Chelonoidis_becki	Male	105.6	116.6	438.8	825.8	93.1	183.8	5.22	55.8	92.7	Saddleback	18.3	Medium	62.3
362	Isabela	Chelonoidis_microphyes	Male	76.3	112.1	484.1	837.6	66.6	153.2	5.27	43.2	76.7	Saddleback	25.2	High	68.4
363	Espanola	Chelonoidis_hoodensis	Female	83.3	75.1	85.6	413.7	109.9	281	5.85	49.7	82.1	Saddleback	27.5	Medium	70.6
364	Isabela	Chelonoidis_becki	Male	110.2	123	483.9	865.4	89	148.4	5.02	46.2	90.6	Saddleback	19.8	Medium	66.3
365	Isabela	Chelonoidis_vicina	Male	93.3	112.8	527.2	766.4	22.9	124	4.24	48.1	51.5	Saddleback	20.7	Medium	62.5
366	Santa_Cruz	Chelonoidis_donfaustoi	Male	98.7	112.2	246.8	712.9	147.1	241.6	5.09	52	90.9	Intermediate	19.5	Medium	77.3
367	Isabela	Chelonoidis_vicina	Male	97.7	105.8	486.3	796.2	47.6	169.9	4.87	54.4	70.9	Saddleback	24.8	Medium	76.6
368	Isabela	Chelonoidis_vicina	Male	87	107.6	510.9	624.4	0	177.7	4.05	53.3	47.7	Intermediate	32.1	High	86.5
369	Isabela	Chelonoidis_becki	Male	59.6	100.4	482	790	46.3	182.3	5.55	46.5	59.2	Saddleback	21.8	Medium	60.1
370	Isabela	Chelonoidis_vicina	Female	107	112.1	505.6	844.7	54.5	161.4	3.87	57.3	62.9	Dome	21.9	Low	59.9
